student_id,Subject,Semester,Section,gender,enrollment_reason,enrollment_status,time_spent,time_spent_hours
_96994,AnPhA,S216,01,F,Course Unavailable at Local School,Approved/Enrolled,2676.7501,44.61250166666667
_74552,AnPhA,S216,02,F,Other,Approved/Enrolled,6123.8832,102.06472000000001
_88979,AnPhA,S216,02,F,Scheduling Conflict,Dropped,364.5001,6.075001666666666
_91164,AnPhA,S216,02,F,Course Unavailable at Local School,Approved/Enrolled,4359.0996,72.65165999999999
_94219,AnPhA,S216,02,F,Learning Preference of the Student,Dropped,151.75,2.529166666666667
_94542,AnPhA,S216,02,F,Other,Approved/Enrolled,1558.5331,25.975551666666668
_94545,AnPhA,S216,02,F,Other,Approved/Enrolled,855.3833,14.256388333333332
_94550,AnPhA,S216,02,F,Other,Approved/Enrolled,2856.6166,47.610276666666664
_94898,AnPhA,S216,02,F,Other,Approved/Enrolled,1904.1662,31.736103333333332
_94903,AnPhA,S216,02,F,Course Unavailable at Local School,Approved/Enrolled,2288.5835,38.143058333333336
_95017,AnPhA,S216,02,F,Other,Approved/Enrolled,2773.6164,46.22694
_95041,AnPhA,S216,02,F,Other,Approved/Enrolled,322.9502,5.382503333333333
_95160,AnPhA,S216,02,F,Course Unavailable at Local School,Approved/Enrolled,4154.4333,69.240555
_95264,AnPhA,S216,02,M,Learning Preference of the Student,Dropped,237.3,3.955
_95377,AnPhA,S216,02,F,Learning Preference of the Student,Approved/Enrolled,1089.9667,18.166111666666666
_95919,AnPhA,S216,02,M,Course Unavailable at Local School,Approved/Enrolled,1937.4333,32.290555
_96826,AnPhA,S216,02,F,Learning Preference of the Student,Approved/Enrolled,1073.95,17.899166666666666
_96871,AnPhA,S216,02,F,Other,Approved/Enrolled,244.3835,4.073058333333333
_66508,AnPhA,T116,01,F,Scheduling Conflict,Dropped,0.45,0.007500000000000001
_76132,AnPhA,T116,01,F,Other,Approved/Enrolled,5037.3331,83.95555166666666
_79859,AnPhA,T116,01,F,Course Unavailable at Local School,Approved/Enrolled,2040.7333,34.01222166666667
_84640,AnPhA,T116,01,F,Course Unavailable at Local School,Approved/Enrolled,2362.1,39.36833333333333
_84641,AnPhA,T116,01,F,Course Unavailable at Local School,Approved/Enrolled,4614.4,76.90666666666667
_84749,AnPhA,T116,01,F,Course Unavailable at Local School,Approved/Enrolled,4199.4169,69.99028166666668
_84757,AnPhA,T116,01,F,Course Unavailable at Local School,Approved/Enrolled,128.6165,2.1436083333333333
_87865,AnPhA,T116,01,F,Scheduling Conflict,Approved/Enrolled,1304.1168,21.73528
_88995,AnPhA,T116,01,F,Course Unavailable at Local School,Approved/Enrolled,119.3169,1.988615
_89005,AnPhA,T116,01,M,Course Unavailable at Local School,Approved/Enrolled,2429.3997,40.489995
_90516,AnPhA,T116,01,F,Learning Preference of the Student,Approved/Enrolled,250.4331,4.173885
_61965,BioA,S116,01,M,Learning Preference of the Student,Approved/Enrolled,615.2168,10.253613333333334
_68598,BioA,S116,01,F,Learning Preference of the Student,Approved/Enrolled,3331.6169,55.52694833333333
_69937,BioA,S116,01,F,Learning Preference of the Student,Withdrawn,1.2168,0.020280000000000003
_70408,BioA,S116,01,F,Learning Preference of the Student,Approved/Enrolled,6664.4499,111.074165
_70681,BioA,S116,01,F,Learning Preference of the Student,Approved/Enrolled,2602.2333,43.370554999999996
_71434,BioA,S116,01,M,Scheduling Conflict,Approved/Enrolled,1006.3337,16.772228333333334
_77169,BioA,S116,01,M,Scheduling Conflict,Approved/Enrolled,735.0999,12.251665000000001
_85292,BioA,S116,01,M,Scheduling Conflict,Approved/Enrolled,264.2002,4.403336666666666
_85889,BioA,S116,01,M,Learning Preference of the Student,Approved/Enrolled,297.5167,4.958611666666667
_86067,BioA,S116,01,F,Learning Preference of the Student,Approved/Enrolled,516.7003,8.611671666666666
_86110,BioA,S116,01,M,Learning Preference of the Student,Approved/Enrolled,3954.2997,65.904995
_86113,BioA,S116,01,F,Other,Approved/Enrolled,63.6837,1.061395
_86130,BioA,S116,01,F,Other,Approved/Enrolled,142.7337,2.378895
_86202,BioA,S116,01,M,Credit Recovery,Approved/Enrolled,1391.0673,23.184455
_86216,BioA,S116,01,M,Scheduling Conflict,Approved/Enrolled,1855.9338,30.93223
_86580,BioA,S116,01,F,Learning Preference of the Student,Approved/Enrolled,1076.5339,17.942231666666665
_87081,BioA,S116,01,M,Other,Approved/Enrolled,181.5999,3.026665
_87552,BioA,S116,01,F,Scheduling Conflict,Approved/Enrolled,1496.8001,24.94666833333333
_88568,BioA,S116,01,M,Other,Approved/Enrolled,1329.3997,22.156661666666665
_89300,BioA,S116,01,M,Scheduling Conflict,Approved/Enrolled,1132.1503,18.869171666666666
_90253,BioA,S116,01,F,Other,Approved/Enrolled,1803.8334,30.06389
_90430,BioA,S116,01,F,Credit Recovery,Approved/Enrolled,2252.5,37.541666666666664
